Age from Formation (Gyr),Relative Luminosity (L/L☉)
0.1,0.7065645514223194
0.2,0.7131291028446389
0.30000000000000004,0.7196936542669584
0.4,0.7262582056892779
0.5,0.7328227571115973
0.6,0.7393873085339168
0.7000000000000001,0.7459518599562363
0.8,0.7525164113785557
0.9,0.7590809628008752
1.0,0.7656455142231947
1.1,0.7722100656455142
1.2000000000000002,0.7787746170678337
1.3000000000000003,0.7853391684901532
1.4000000000000001,0.7919037199124727
1.5000000000000002,0.7984682713347921
1.6,0.8050328227571115
1.7000000000000002,0.811597374179431
1.8000000000000003,0.8181619256017505
1.9000000000000001,0.82472647702407
2.0,0.8312910284463895
2.1,0.837855579868709
2.2,0.8444201312910284
2.3000000000000003,0.8509846827133479
2.4000000000000004,0.8575492341356674
2.5000000000000004,0.8641137855579869
2.6,0.8706783369803063
2.7,0.8772428884026258
2.8000000000000003,0.8838074398249454
2.9000000000000004,0.8903719912472647
3.0000000000000004,0.8969365426695842
3.1,0.9035010940919037
3.2,0.9100656455142232
3.3000000000000003,0.9166301969365427
3.4000000000000004,0.9231947483588621
3.5000000000000004,0.9297592997811817
3.6,0.936323851203501
3.7,0.9428884026258205
3.8000000000000003,0.94945295404814
3.9000000000000004,0.9560175054704595
4.0,0.962582056892779
4.1,0.9691466083150984
4.2,0.975711159737418
4.3,0.9822757111597373
4.3999999999999995,0.9888402625820568
4.5,0.9954048140043763
4.6,1.001969365426696
4.7,1.0085339168490153
4.8,1.0150984682713347
4.9,1.0216630196936543
5.0,1.0282275711159738
5.1,1.0347921225382932
5.2,1.0413566739606126
5.3,1.0479212253829322
5.4,1.0544857768052516
5.5,1.0610503282275712
5.6,1.0676148796498905
5.7,1.0741794310722101
5.8,1.0807439824945295
5.9,1.0873085339168491
6.0,1.0938730853391685
6.1,1.1004376367614879
6.2,1.1070021881838075
6.3,1.1135667396061268
6.4,1.1201312910284464
6.5,1.1266958424507658
6.6,1.1332603938730852
6.7,1.1398249452954048
6.8,1.1463894967177244
6.9,1.1529540481400438
7.0,1.1595185995623631
7.1,1.1660831509846827
7.2,1.1726477024070023
7.3,1.1792122538293217
7.4,1.185776805251641
7.5,1.1923413566739607
7.6,1.19890590809628
7.7,1.2054704595185997
7.8,1.212035010940919
7.9,1.2185995623632384
8.0,1.225164113785558
8.1,1.2317286652078776
8.2,1.238293216630197
8.3,1.2448577680525164
8.4,1.251422319474836
8.5,1.2579868708971553
8.6,1.264551422319475
8.7,1.2711159737417943
8.8,1.2776805251641137
8.9,1.2842450765864333
9.0,1.2908096280087529
9.1,1.2973741794310722
9.2,1.3039387308533916
9.3,1.3105032822757112
9.4,1.3170678336980308
9.5,1.3236323851203502
9.6,1.3301969365426696
9.700000000000001,1.336761487964989
9.8,1.3433260393873085
9.9,1.3498905908096281
10.0,1.3564551422319475
10.0,1.3564551422319475
10.11111111111111,12.316849015317286
10.222222222222221,23.277242888402625
10.333333333333334,34.23763676148796
10.444444444444445,45.1980306345733
10.555555555555555,56.15842450765864
10.666666666666666,67.11881838074399
10.777777777777779,78.07921225382933
10.88888888888889,89.03960612691466
11.0,100.0
